image,predicted,true
0.jpg,32.53,23.19
1.jpg,21.67,17.43
10.jpg,42.50,45.92
100.jpg,51.79,53.16
101.jpg,82.72,73.97
102.jpg,76.79,65.36
103.jpg,75.68,76.82
104.jpg,94.12,91.67
105.jpg,66.20,69.23
106.jpg,58.33,65.33
107.jpg,67.21,71.05
108.jpg,80.39,82.95
109.jpg,76.06,78.20
11.jpg,41.82,30.85
110.jpg,70.00,78.81
111.jpg,75.00,76.06
112.jpg,65.96,56.40
113.jpg,73.56,66.08
114.jpg,40.00,41.80
115.jpg,53.97,50.00
116.jpg,40.51,37.10
117.jpg,45.33,31.55
118.jpg,32.00,30.46
119.jpg,39.51,34.94
12.jpg,58.02,46.05
120.jpg,36.36,27.91
121.jpg,30.00,25.15
122.jpg,41.98,35.35
123.jpg,81.71,70.72
124.jpg,61.84,53.63
125.jpg,75.81,62.05
126.jpg,67.47,52.21
127.jpg,55.91,43.33
128.jpg,68.12,58.94
129.jpg,41.59,36.06
13.jpg,39.53,34.64
130.jpg,41.30,34.58
131.jpg,75.93,70.43
132.jpg,41.59,35.65
133.jpg,30.00,23.53
134.jpg,30.77,25.17
135.jpg,34.00,31.78
136.jpg,38.16,35.77
137.jpg,18.84,16.26
138.jpg,25.84,20.45
139.jpg,32.58,23.55
14.jpg,47.54,39.53
140.jpg,60.16,57.96
141.jpg,69.75,66.48
142.jpg,62.00,67.52
143.jpg,64.62,61.81
144.jpg,62.00,58.06
145.jpg,44.29,50.00
146.jpg,52.54,51.89
147.jpg,47.52,44.40
148.jpg,67.92,70.41
149.jpg,43.54,36.18
15.jpg,45.90,46.04
150.jpg,47.52,43.96
151.jpg,38.30,37.04
152.jpg,38.84,38.73
153.jpg,22.95,34.33
154.jpg,36.36,33.61
155.jpg,34.92,31.97
156.jpg,35.56,32.63
157.jpg,48.00,51.16
158.jpg,56.76,57.14
159.jpg,48.15,57.34
16.jpg,64.29,46.40
160.jpg,56.00,66.03
161.jpg,35.54,26.19
162.jpg,58.77,61.60
163.jpg,87.50,87.27
164.jpg,22.43,14.63
165.jpg,16.13,24.00
166.jpg,15.00,15.79
167.jpg,8.24,8.79
168.jpg,12.20,13.92
169.jpg,13.45,7.25
17.jpg,35.62,33.06
170.jpg,38.00,28.17
171.jpg,41.38,26.15
172.jpg,30.00,19.54
173.jpg,38.84,28.77
174.jpg,31.88,26.13
175.jpg,15.43,13.33
176.jpg,24.71,21.40
177.jpg,39.71,31.93
178.jpg,45.33,28.21
179.jpg,34.00,21.80
180.jpg,40.28,25.90
181.jpg,37.78,27.01
182.jpg,20.17,15.98
183.jpg,22.03,18.04
184.jpg,21.49,16.95
185.jpg,17.78,11.69
186.jpg,74.00,78.45
187.jpg,18.90,19.35
188.jpg,32.06,30.32
189.jpg,31.58,26.77
19.jpg,70.59,75.32
190.jpg,34.92,32.38
191.jpg,32.65,33.12
192.jpg,57.45,45.54
193.jpg,30.14,26.17
194.jpg,39.13,25.47
195.jpg,38.84,21.50
196.jpg,35.54,26.61
197.jpg,42.86,28.81
198.jpg,61.36,52.59
199.jpg,35.65,20.74
2.jpg,61.54,70.97
20.jpg,57.14,59.63
200.jpg,22.61,17.19
201.jpg,34.00,23.73
202.jpg,20.00,13.93
203.jpg,42.00,23.38
204.jpg,72.26,70.97
205.jpg,91.06,70.21
206.jpg,23.28,17.63
207.jpg,43.37,36.00
208.jpg,88.46,73.78
209.jpg,82.11,82.39
21.jpg,37.93,24.39
210.jpg,41.94,42.61
211.jpg,47.00,48.33
212.jpg,46.96,48.15
213.jpg,56.00,63.50
214.jpg,60.87,58.28
215.jpg,29.85,24.84
216.jpg,25.20,18.90
217.jpg,35.29,30.41
218.jpg,38.46,26.61
219.jpg,47.27,36.00
22.jpg,62.96,52.05
220.jpg,56.52,45.24
221.jpg,56.52,45.63
222.jpg,28.07,23.08
223.jpg,78.00,85.35
224.jpg,85.98,81.86
225.jpg,83.00,80.61
226.jpg,84.71,75.74
227.jpg,72.97,73.60
228.jpg,46.53,39.81
229.jpg,42.19,21.84
23.jpg,22.50,12.99
230.jpg,45.63,46.10
231.jpg,47.57,49.12
232.jpg,45.35,44.38
233.jpg,52.46,44.76
234.jpg,59.09,49.68
235.jpg,51.19,60.80
236.jpg,45.35,31.76
237.jpg,35.42,29.00
238.jpg,48.75,45.28
239.jpg,58.02,37.65
24.jpg,43.16,38.19
240.jpg,17.60,15.00
241.jpg,34.41,21.95
242.jpg,80.00,56.82
243.jpg,78.33,70.55
244.jpg,78.26,61.61
245.jpg,34.55,20.85
246.jpg,36.00,34.21
247.jpg,57.33,42.08
248.jpg,36.00,34.40
249.jpg,39.13,37.68
25.jpg,44.23,46.43
250.jpg,34.00,28.79
251.jpg,39.45,36.24
252.jpg,37.78,36.43
253.jpg,55.42,46.79
254.jpg,56.00,45.84
255.jpg,45.00,44.72
256.jpg,60.91,55.84
257.jpg,57.76,72.87
258.jpg,61.16,73.47
259.jpg,45.33,40.16
26.jpg,31.18,28.05
260.jpg,41.05,38.82
261.jpg,73.02,73.17
262.jpg,20.48,16.83
263.jpg,14.29,14.74
264.jpg,12.36,14.15
265.jpg,20.48,15.83
266.jpg,15.91,12.84
267.jpg,17.50,16.98
268.jpg,23.29,18.52
269.jpg,26.56,23.86
27.jpg,37.04,33.33
270.jpg,28.00,15.12
271.jpg,17.81,11.58
272.jpg,32.86,29.11
273.jpg,28.21,26.05
274.jpg,34.00,33.33
275.jpg,34.78,27.78
276.jpg,12.04,10.22
277.jpg,8.65,7.24
278.jpg,7.69,5.38
18.jpg,64.29,79.76
279.jpg,23.86,14.29
28.jpg,60.00,61.29
280.jpg,22.22,16.82
281.jpg,19.51,21.37
282.jpg,26.67,25.00
283.jpg,11.90,6.82
284.jpg,26.67,28.35
285.jpg,15.91,12.32
286.jpg,30.00,24.78
287.jpg,27.38,23.87
288.jpg,46.75,47.32
289.jpg,24.69,25.69
29.jpg,6.86,5.15
290.jpg,24.14,20.63
291.jpg,13.40,11.71
292.jpg,11.90,13.59
293.jpg,39.71,32.67
294.jpg,11.36,11.02
295.jpg,14.94,10.09
296.jpg,25.84,18.35
297.jpg,16.85,13.76
298.jpg,40.51,27.93
299.jpg,15.00,12.41
3.jpg,75.00,82.05
30.jpg,68.12,48.80
300.jpg,14.29,10.89
301.jpg,17.89,9.42
302.jpg,17.50,15.89
303.jpg,20.41,17.14
304.jpg,17.33,12.60
305.jpg,52.00,53.75
306.jpg,45.90,46.77
307.jpg,55.37,45.96
308.jpg,48.37,41.00
309.jpg,15.18,11.57
31.jpg,50.91,39.43
310.jpg,15.94,11.21
311.jpg,51.25,38.55
312.jpg,42.22,36.75
313.jpg,50.91,47.52
314.jpg,39.53,33.12
315.jpg,34.51,24.83
316.jpg,31.71,24.40
317.jpg,29.03,29.63
318.jpg,24.19,19.83
319.jpg,40.91,35.76
32.jpg,48.44,33.69
320.jpg,16.85,11.54
321.jpg,26.58,24.29
322.jpg,32.76,27.66
