image,predicted,true
0.jpg,60.00,23.19
1.jpg,25.00,17.43
10.jpg,60.87,45.92
100.jpg,65.00,53.16
101.jpg,90.00,73.97
102.jpg,76.00,65.36
103.jpg,64.00,76.82
104.jpg,90.00,91.67
105.jpg,84.00,69.23
106.jpg,72.00,65.33
107.jpg,70.00,71.05
109.jpg,90.00,78.20
11.jpg,60.00,30.85
110.jpg,64.00,78.81
111.jpg,90.00,76.06
112.jpg,75.00,56.40
113.jpg,65.00,66.08
114.jpg,46.00,41.80
115.jpg,60.00,50.00
116.jpg,46.00,37.10
117.jpg,54.00,31.55
118.jpg,46.00,30.46
119.jpg,57.50,34.94
12.jpg,72.00,46.05
120.jpg,46.00,27.91
121.jpg,38.33,25.15
122.jpg,56.00,35.35
123.jpg,80.00,70.72
124.jpg,76.00,53.63
125.jpg,75.00,62.05
126.jpg,75.00,52.21
127.jpg,60.00,43.33
128.jpg,75.00,58.94
129.jpg,60.00,36.06
13.jpg,54.00,34.64
130.jpg,56.67,34.58
131.jpg,85.71,70.43
132.jpg,68.00,35.65
133.jpg,40.00,23.53
134.jpg,40.00,25.17
135.jpg,32.00,31.78
136.jpg,46.00,35.77
137.jpg,25.00,16.26
138.jpg,36.00,20.45
139.jpg,38.00,23.55
14.jpg,57.50,39.53
140.jpg,68.00,57.96
141.jpg,54.00,66.48
142.jpg,47.00,67.52
143.jpg,76.00,61.81
144.jpg,45.00,58.06
145.jpg,58.00,50.00
146.jpg,45.00,51.89
147.jpg,45.00,44.40
148.jpg,58.00,70.41
149.jpg,45.00,36.18
15.jpg,45.00,46.04
150.jpg,54.00,43.96
151.jpg,46.00,37.04
152.jpg,40.00,38.73
153.jpg,48.00,34.33
154.jpg,46.00,33.61
155.jpg,40.00,31.97
156.jpg,40.00,32.63
157.jpg,54.00,51.16
158.jpg,57.50,57.14
159.jpg,64.29,57.34
16.jpg,70.00,46.40
160.jpg,45.00,66.03
161.jpg,32.00,26.19
162.jpg,45.00,61.60
163.jpg,90.00,87.27
164.jpg,28.57,14.63
165.jpg,28.57,24.00
166.jpg,21.74,15.79
167.jpg,14.00,8.79
168.jpg,20.00,13.92
169.jpg,12.00,7.25
17.jpg,57.50,33.06
170.jpg,64.29,28.17
171.jpg,60.00,26.15
172.jpg,28.00,19.54
173.jpg,56.00,28.77
174.jpg,40.00,26.13
175.jpg,18.00,13.33
176.jpg,38.00,21.40
177.jpg,65.71,31.93
178.jpg,56.00,28.21
179.jpg,56.00,21.80
18.jpg,72.00,79.76
180.jpg,46.00,25.90
181.jpg,57.50,27.01
182.jpg,38.33,15.98
183.jpg,30.00,18.04
184.jpg,28.00,16.95
185.jpg,23.00,11.69
186.jpg,77.50,78.45
187.jpg,34.00,19.35
188.jpg,34.00,30.32
189.jpg,60.00,26.77
19.jpg,65.71,75.32
190.jpg,42.86,32.38
191.jpg,57.50,33.12
192.jpg,72.00,45.54
193.jpg,57.50,26.17
194.jpg,56.67,25.47
195.jpg,45.00,21.50
196.jpg,52.00,26.61
197.jpg,46.67,28.81
198.jpg,60.00,52.59
199.jpg,40.00,20.74
2.jpg,72.00,70.97
20.jpg,70.00,59.63
200.jpg,32.86,17.19
201.jpg,46.67,23.73
202.jpg,35.00,13.93
203.jpg,60.00,23.38
204.jpg,85.00,70.97
205.jpg,100.00,70.21
206.jpg,46.00,17.63
207.jpg,68.00,36.00
208.jpg,100.00,73.78
209.jpg,85.00,82.39
21.jpg,46.67,24.39
210.jpg,58.00,42.61
211.jpg,56.67,48.33
212.jpg,45.00,48.15
213.jpg,67.14,63.50
214.jpg,67.14,58.28
215.jpg,46.00,24.84
216.jpg,32.86,18.90
217.jpg,48.57,30.41
218.jpg,56.25,26.61
219.jpg,60.00,36.00
22.jpg,85.00,52.05
220.jpg,72.00,45.24
221.jpg,65.71,45.63
222.jpg,40.00,23.08
223.jpg,85.00,85.35
224.jpg,85.00,81.86
225.jpg,94.44,80.61
226.jpg,90.91,75.74
227.jpg,83.33,73.60
228.jpg,90.00,39.81
229.jpg,45.00,21.84
23.jpg,28.00,12.99
230.jpg,45.00,46.10
231.jpg,45.00,49.12
232.jpg,56.00,44.38
233.jpg,56.00,44.76
234.jpg,68.57,49.68
235.jpg,63.33,60.80
236.jpg,70.00,31.76
237.jpg,46.00,29.00
238.jpg,63.33,45.28
239.jpg,70.00,37.65
24.jpg,56.00,38.19
240.jpg,30.00,15.00
241.jpg,46.00,21.95
242.jpg,90.00,56.82
243.jpg,75.00,70.55
244.jpg,85.00,61.61
245.jpg,45.00,20.85
246.jpg,45.00,34.21
247.jpg,68.00,42.08
248.jpg,38.33,34.40
249.jpg,46.67,37.68
25.jpg,60.00,46.43
250.jpg,40.00,28.79
251.jpg,56.00,36.24
252.jpg,56.00,36.43
253.jpg,65.38,46.79
254.jpg,60.00,45.84
255.jpg,45.00,44.72
256.jpg,45.00,55.84
257.jpg,45.00,72.87
258.jpg,65.00,73.47
259.jpg,56.00,40.16
26.jpg,46.00,28.05
260.jpg,38.33,38.82
261.jpg,85.00,73.17
262.jpg,28.00,16.83
263.jpg,24.00,14.74
264.jpg,16.00,14.15
265.jpg,24.00,15.83
266.jpg,22.50,12.84
267.jpg,24.00,16.98
268.jpg,30.00,18.52
269.jpg,35.00,23.86
