imagen:0.jpg, predicho:40.54, verdadero:23.19
imagen:1.jpg, predicho:26.32, verdadero:17.43
imagen:10.jpg, predicho:56.52, verdadero:45.92
imagen:100.jpg, predicho:60.00, verdadero:53.16
imagen:101.jpg, predicho:94.00, verdadero:73.97
imagen:102.jpg, predicho:80.85, verdadero:65.36
imagen:103.jpg, predicho:80.00, verdadero:76.82
imagen:104.jpg, predicho:95.65, verdadero:91.67
imagen:105.jpg, predicho:85.71, verdadero:69.23
imagen:106.jpg, predicho:72.00, verdadero:65.33
imagen:107.jpg, predicho:73.68, verdadero:71.05
imagen:108.jpg, predicho:84.44, verdadero:82.95
imagen:109.jpg, predicho:86.79, verdadero:78.20
imagen:11.jpg, predicho:56.67, verdadero:30.85
imagen:110.jpg, predicho:68.29, verdadero:78.81
imagen:111.jpg, predicho:80.60, verdadero:76.06
imagen:112.jpg, predicho:76.00, verdadero:56.40
imagen:113.jpg, predicho:77.14, verdadero:66.08
imagen:114.jpg, predicho:38.00, verdadero:41.80
imagen:115.jpg, predicho:55.00, verdadero:50.00
imagen:116.jpg, predicho:40.00, verdadero:37.10
imagen:117.jpg, predicho:47.83, verdadero:31.55
imagen:118.jpg, predicho:40.00, verdadero:30.46
imagen:119.jpg, predicho:51.43, verdadero:34.94
imagen:12.jpg, predicho:58.00, verdadero:46.05
imagen:120.jpg, predicho:32.14, verdadero:27.91
imagen:121.jpg, predicho:30.91, verdadero:25.15
imagen:122.jpg, predicho:49.09, verdadero:35.35
imagen:123.jpg, predicho:86.79, verdadero:70.72
imagen:124.jpg, predicho:64.00, verdadero:53.63
imagen:125.jpg, predicho:76.00, verdadero:62.05
imagen:126.jpg, predicho:65.38, verdadero:52.21
imagen:127.jpg, predicho:53.33, verdadero:43.33
imagen:128.jpg, predicho:85.42, verdadero:58.94
imagen:129.jpg, predicho:43.08, verdadero:36.06
imagen:13.jpg, predicho:46.00, verdadero:34.64
imagen:130.jpg, predicho:45.71, verdadero:34.58
imagen:131.jpg, predicho:88.00, verdadero:70.43
imagen:132.jpg, predicho:60.00, verdadero:35.65
imagen:133.jpg, predicho:37.78, verdadero:23.53
imagen:134.jpg, predicho:40.00, verdadero:25.17
imagen:135.jpg, predicho:32.86, verdadero:31.78
imagen:136.jpg, predicho:45.24, verdadero:35.77
imagen:137.jpg, predicho:19.15, verdadero:16.26
imagen:138.jpg, predicho:24.07, verdadero:20.45
imagen:139.jpg, predicho:34.15, verdadero:23.55
imagen:14.jpg, predicho:55.00, verdadero:39.53
imagen:140.jpg, predicho:58.70, verdadero:57.96
imagen:141.jpg, predicho:65.85, verdadero:66.48
imagen:142.jpg, predicho:63.33, verdadero:67.52
imagen:143.jpg, predicho:56.00, verdadero:61.81
imagen:144.jpg, predicho:63.33, verdadero:58.06
imagen:145.jpg, predicho:54.00, verdadero:50.00
imagen:146.jpg, predicho:51.25, verdadero:51.89
imagen:147.jpg, predicho:48.00, verdadero:44.40
imagen:148.jpg, predicho:62.67, verdadero:70.41
imagen:149.jpg, predicho:47.50, verdadero:36.18
imagen:15.jpg, predicho:47.50, verdadero:46.04
imagen:150.jpg, predicho:51.25, verdadero:43.96
imagen:151.jpg, predicho:36.67, verdadero:37.04
imagen:152.jpg, predicho:28.95, verdadero:38.73
imagen:153.jpg, predicho:33.33, verdadero:34.33
imagen:154.jpg, predicho:34.00, verdadero:33.61
imagen:155.jpg, predicho:42.50, verdadero:31.97
imagen:156.jpg, predicho:40.00, verdadero:32.63
imagen:157.jpg, predicho:51.16, verdadero:51.16
