image,predicted,true
0.jpg,40.54,23.19
1.jpg,26.32,17.43
10.jpg,56.52,45.92
100.jpg,60.00,53.16
101.jpg,94.00,73.97
102.jpg,80.85,65.36
103.jpg,80.00,76.82
104.jpg,95.65,91.67
105.jpg,85.71,69.23
106.jpg,72.00,65.33
107.jpg,73.68,71.05
108.jpg,84.44,82.95
109.jpg,86.79,78.20
11.jpg,56.67,30.85
110.jpg,68.29,78.81
111.jpg,80.60,76.06
112.jpg,76.00,56.40
113.jpg,77.14,66.08
114.jpg,38.00,41.80
115.jpg,55.00,50.00
116.jpg,40.00,37.10
117.jpg,47.83,31.55
118.jpg,40.00,30.46
119.jpg,51.43,34.94
12.jpg,58.00,46.05
120.jpg,32.14,27.91
121.jpg,30.91,25.15
122.jpg,49.09,35.35
123.jpg,86.79,70.72
124.jpg,64.00,53.63
125.jpg,76.00,62.05
126.jpg,65.38,52.21
127.jpg,53.33,43.33
128.jpg,85.42,58.94
129.jpg,43.08,36.06
13.jpg,46.00,34.64
130.jpg,45.71,34.58
131.jpg,88.00,70.43
132.jpg,60.00,35.65
133.jpg,37.78,23.53
134.jpg,40.00,25.17
135.jpg,32.86,31.78
136.jpg,45.24,35.77
137.jpg,19.15,16.26
138.jpg,24.07,20.45
139.jpg,34.15,23.55
14.jpg,55.00,39.53
140.jpg,58.70,57.96
141.jpg,65.85,66.48
142.jpg,63.33,67.52
143.jpg,56.00,61.81
144.jpg,63.33,58.06
145.jpg,54.00,50.00
146.jpg,51.25,51.89
147.jpg,48.00,44.40
148.jpg,62.67,70.41
149.jpg,47.50,36.18
15.jpg,47.50,46.04
150.jpg,51.25,43.96
151.jpg,36.67,37.04
152.jpg,28.95,38.73
153.jpg,33.33,34.33
154.jpg,34.00,33.61
155.jpg,42.50,31.97
156.jpg,40.00,32.63
157.jpg,51.16,51.16
158.jpg,55.00,57.14
159.jpg,61.11,57.34
16.jpg,73.68,46.40
160.jpg,63.53,66.03
161.jpg,34.15,26.19
162.jpg,64.00,61.60
163.jpg,95.00,87.27
164.jpg,22.50,14.63
165.jpg,21.05,24.00
166.jpg,24.00,15.79
167.jpg,12.90,8.79
168.jpg,16.98,13.92
169.jpg,13.95,7.25
17.jpg,55.00,33.06
170.jpg,47.50,28.17
171.jpg,56.67,26.15
172.jpg,31.43,19.54
173.jpg,46.67,28.77
174.jpg,37.14,26.13
175.jpg,18.89,13.33
176.jpg,32.22,21.40
177.jpg,55.00,31.93
178.jpg,55.00,28.21
179.jpg,36.67,21.80
18.jpg,72.00,79.76
180.jpg,40.00,25.90
181.jpg,55.00,27.01
182.jpg,25.88,15.98
183.jpg,25.00,18.04
184.jpg,30.00,16.95
185.jpg,18.33,11.69
186.jpg,82.67,78.45
187.jpg,25.88,19.35
188.jpg,33.75,30.32
189.jpg,42.11,26.77
19.jpg,62.86,75.32
190.jpg,37.14,32.38
191.jpg,44.00,33.12
192.jpg,72.00,45.54
193.jpg,40.54,26.17
194.jpg,46.67,25.47
195.jpg,43.53,21.50
196.jpg,44.00,26.61
197.jpg,43.08,28.81
198.jpg,54.29,52.59
199.jpg,36.92,20.74
2.jpg,69.23,70.97
20.jpg,67.50,59.63
200.jpg,22.50,17.19
201.jpg,34.67,23.73
202.jpg,22.45,13.93
203.jpg,43.08,23.38
204.jpg,82.00,70.97
205.jpg,92.00,70.21
206.jpg,32.73,17.63
207.jpg,55.77,36.00
208.jpg,90.00,73.78
209.jpg,86.32,82.39
21.jpg,37.14,24.39
210.jpg,54.00,42.61
211.jpg,53.33,48.33
212.jpg,47.50,48.15
213.jpg,58.46,63.50
214.jpg,54.29,58.28
215.jpg,36.00,24.84
216.jpg,26.87,18.90
217.jpg,43.28,30.41
218.jpg,45.45,26.61
219.jpg,56.52,36.00
22.jpg,90.63,52.05
220.jpg,65.22,45.24
221.jpg,62.96,45.63
222.jpg,33.33,23.08
223.jpg,90.24,85.35
224.jpg,91.11,81.86
225.jpg,93.55,80.61
226.jpg,94.74,75.74
227.jpg,89.09,73.60
228.jpg,85.00,39.81
229.jpg,38.00,21.84
23.jpg,25.49,12.99
230.jpg,47.50,46.10
231.jpg,56.47,49.12
232.jpg,47.54,44.38
233.jpg,47.62,44.76
234.jpg,63.33,49.68
235.jpg,60.71,60.80
236.jpg,55.00,31.76
237.jpg,36.67,29.00
238.jpg,60.00,45.28
239.jpg,64.00,37.65
24.jpg,45.00,38.19
240.jpg,21.25,15.00
241.jpg,36.67,21.95
242.jpg,88.00,56.82
243.jpg,78.33,70.55
244.jpg,88.57,61.61
245.jpg,37.78,20.85
246.jpg,43.84,34.21
247.jpg,60.38,42.08
248.jpg,36.67,34.40
249.jpg,38.33,37.68
25.jpg,60.00,46.43
250.jpg,32.86,28.79
251.jpg,38.33,36.24
252.jpg,41.54,36.43
253.jpg,63.81,46.79
254.jpg,61.67,45.84
255.jpg,47.50,44.72
256.jpg,58.57,55.84
257.jpg,65.08,72.87
258.jpg,68.89,73.47
259.jpg,51.16,40.16
26.jpg,44.00,28.05
260.jpg,36.67,38.82
261.jpg,87.00,73.17
262.jpg,24.07,16.83
263.jpg,18.52,14.74
264.jpg,15.63,14.15
265.jpg,22.81,15.83
266.jpg,20.83,12.84
267.jpg,18.52,16.98
268.jpg,28.89,18.52
269.jpg,28.89,23.86
27.jpg,41.94,33.33
270.jpg,28.89,15.12
271.jpg,20.83,11.58
272.jpg,40.54,29.11
273.jpg,29.41,26.05
274.jpg,40.00,33.33
275.jpg,36.00,27.78
276.jpg,19.40,10.22
277.jpg,10.84,7.24
278.jpg,10.00,5.38
279.jpg,19.40,14.29
28.jpg,80.00,61.29
280.jpg,25.00,16.82
281.jpg,25.49,21.37
282.jpg,27.87,25.00
283.jpg,10.00,6.82
284.jpg,33.33,28.35
285.jpg,17.57,12.32
286.jpg,25.42,24.78
287.jpg,28.95,23.87
288.jpg,49.12,47.32
289.jpg,29.41,25.69
29.jpg,7.50,5.15
290.jpg,28.13,20.63
291.jpg,15.63,11.71
292.jpg,15.79,13.59
293.jpg,36.00,32.67
294.jpg,16.92,11.02
295.jpg,14.29,10.09
296.jpg,32.14,18.35
297.jpg,21.67,13.76
298.jpg,36.00,27.93
