imagen:0.jpg, predicho:28.00, verdadero:23.19
imagen:1.jpg, predicho:25.71, verdadero:17.43
imagen:10.jpg, predicho:45.83, verdadero:45.92
imagen:100.jpg, predicho:56.00, verdadero:53.16
imagen:101.jpg, predicho:63.00, verdadero:73.97
imagen:102.jpg, predicho:80.00, verdadero:65.36
imagen:103.jpg, predicho:60.00, verdadero:76.82
imagen:104.jpg, predicho:80.00, verdadero:91.67
imagen:105.jpg, predicho:80.00, verdadero:69.23
imagen:106.jpg, predicho:73.33, verdadero:65.33
imagen:107.jpg, predicho:70.97, verdadero:71.05
imagen:108.jpg, predicho:73.33, verdadero:82.95
imagen:109.jpg, predicho:74.29, verdadero:78.20
imagen:11.jpg, predicho:44.00, verdadero:30.85
imagen:110.jpg, predicho:63.33, verdadero:78.81
imagen:111.jpg, predicho:72.00, verdadero:76.06
imagen:112.jpg, predicho:68.57, verdadero:56.40
imagen:113.jpg, predicho:72.00, verdadero:66.08
imagen:114.jpg, predicho:36.00, verdadero:41.80
imagen:115.jpg, predicho:47.50, verdadero:50.00
imagen:116.jpg, predicho:45.21, verdadero:37.10
imagen:117.jpg, predicho:47.50, verdadero:31.55
imagen:118.jpg, predicho:38.00, verdadero:30.46
imagen:119.jpg, predicho:41.25, verdadero:34.94
imagen:12.jpg, predicho:44.00, verdadero:46.05
imagen:120.jpg, predicho:41.25, verdadero:27.91
imagen:121.jpg, predicho:33.00, verdadero:25.15
imagen:122.jpg, predicho:38.00, verdadero:35.35
imagen:123.jpg, predicho:80.00, verdadero:70.72
imagen:124.jpg, predicho:62.86, verdadero:53.63
imagen:125.jpg, predicho:63.00, verdadero:62.05
imagen:126.jpg, predicho:60.00, verdadero:52.21
imagen:127.jpg, predicho:48.00, verdadero:43.33
imagen:128.jpg, predicho:56.00, verdadero:58.94
imagen:129.jpg, predicho:38.00, verdadero:36.06
imagen:13.jpg, predicho:44.00, verdadero:34.64
imagen:130.jpg, predicho:38.00, verdadero:34.58
imagen:131.jpg, predicho:76.00, verdadero:70.43
imagen:132.jpg, predicho:38.00, verdadero:35.65
imagen:133.jpg, predicho:32.50, verdadero:23.53
imagen:134.jpg, predicho:37.14, verdadero:25.17
imagen:135.jpg, predicho:30.00, verdadero:31.78
imagen:136.jpg, predicho:38.00, verdadero:35.77
imagen:137.jpg, predicho:23.33, verdadero:16.26
imagen:138.jpg, predicho:27.50, verdadero:20.45
imagen:139.jpg, predicho:38.00, verdadero:23.55
imagen:14.jpg, predicho:42.22, verdadero:39.53
imagen:140.jpg, predicho:60.00, verdadero:57.96
imagen:141.jpg, predicho:72.00, verdadero:66.48
imagen:142.jpg, predicho:63.00, verdadero:67.52
imagen:143.jpg, predicho:62.86, verdadero:61.81
