image,predicted,true
0.jpg,28.00,23.19
1.jpg,25.71,17.43
10.jpg,45.83,45.92
100.jpg,56.00,53.16
101.jpg,63.00,73.97
102.jpg,80.00,65.36
103.jpg,60.00,76.82
104.jpg,80.00,91.67
105.jpg,80.00,69.23
106.jpg,73.33,65.33
107.jpg,70.97,71.05
108.jpg,73.33,82.95
109.jpg,74.29,78.20
11.jpg,44.00,30.85
110.jpg,63.33,78.81
111.jpg,72.00,76.06
112.jpg,68.57,56.40
113.jpg,72.00,66.08
114.jpg,36.00,41.80
115.jpg,47.50,50.00
116.jpg,45.21,37.10
117.jpg,47.50,31.55
118.jpg,38.00,30.46
119.jpg,41.25,34.94
12.jpg,44.00,46.05
120.jpg,41.25,27.91
121.jpg,33.00,25.15
122.jpg,38.00,35.35
123.jpg,80.00,70.72
124.jpg,62.86,53.63
125.jpg,63.00,62.05
126.jpg,60.00,52.21
127.jpg,48.00,43.33
128.jpg,56.00,58.94
129.jpg,38.00,36.06
13.jpg,44.00,34.64
130.jpg,38.00,34.58
131.jpg,76.00,70.43
132.jpg,38.00,35.65
133.jpg,32.50,23.53
134.jpg,37.14,25.17
135.jpg,30.00,31.78
136.jpg,38.00,35.77
137.jpg,23.33,16.26
138.jpg,27.50,20.45
139.jpg,38.00,23.55
14.jpg,42.22,39.53
140.jpg,60.00,57.96
141.jpg,72.00,66.48
142.jpg,63.00,67.52
143.jpg,62.86,61.81
144.jpg,65.45,58.06
145.jpg,56.00,50.00
146.jpg,63.00,51.89
147.jpg,37.33,44.40
148.jpg,63.00,70.41
149.jpg,52.50,36.18
15.jpg,58.00,46.04
150.jpg,60.00,43.96
151.jpg,48.00,37.04
152.jpg,38.00,38.73
153.jpg,26.92,34.33
154.jpg,33.75,33.61
155.jpg,36.67,31.97
156.jpg,36.00,32.63
157.jpg,47.50,51.16
158.jpg,63.33,57.14
159.jpg,52.00,57.34
16.jpg,63.33,46.40
160.jpg,72.00,66.03
161.jpg,38.00,26.19
162.jpg,52.00,61.60
163.jpg,92.31,87.27
164.jpg,27.00,14.63
165.jpg,21.74,24.00
166.jpg,19.15,15.79
167.jpg,11.39,8.79
168.jpg,20.00,13.92
169.jpg,14.00,7.25
17.jpg,37.14,33.06
170.jpg,44.00,28.17
171.jpg,48.33,26.15
172.jpg,38.00,19.54
173.jpg,38.00,28.77
174.jpg,37.14,26.13
175.jpg,25.33,13.33
176.jpg,34.55,21.40
177.jpg,38.00,31.93
178.jpg,58.46,28.21
179.jpg,38.00,21.80
18.jpg,76.00,79.76
180.jpg,33.00,25.90
181.jpg,38.00,27.01
182.jpg,26.00,15.98
183.jpg,27.08,18.04
184.jpg,38.00,16.95
