image,predicted,true
0.jpg,37.14,23.19
1.jpg,30.00,17.43
10.jpg,55.00,45.92
11.jpg,55.00,30.85
12.jpg,47.50,46.05
13.jpg,42.22,34.64
14.jpg,47.50,39.53
15.jpg,56.00,46.04
16.jpg,76.00,46.40
17.jpg,43.33,33.06
18.jpg,76.00,79.76
19.jpg,60.00,75.32
2.jpg,66.00,70.97
20.jpg,56.00,59.63
21.jpg,36.67,24.39
22.jpg,63.33,52.05
23.jpg,20.00,12.99
24.jpg,38.00,38.19
25.jpg,65.00,46.43
3.jpg,66.67,82.05
4.jpg,80.00,78.05
5.jpg,63.33,50.00
6.jpg,80.00,56.62
7.jpg,70.00,72.22
8.jpg,74.29,65.83
9.jpg,55.00,34.25
